id,age,job,marital,education,gender
217,40,self-employed,married,secondary,Male
218,43,entrepreneur,married,secondary,Male
219,27,management,single,secondary,Male
220,37,services,single,secondary,Male
221,23,services,single,secondary,Male
222,25,management,married,primary,Female
223,26,blue-collar,single,secondary,Female
224,47,blue-collar,divorced,primary,Female
225,35,admin.,married,secondary,Female
226,32,technician,single,tertiary,Female
227,45,management,divorced,secondary,Female
228,30,admin.,divorced,secondary,Female
229,29,services,single,secondary,Female
230,38,blue-collar,married,primary,Female
231,23,blue-collar,single,secondary,Female
232,27,management,single,tertiary,Female
233,27,management,single,tertiary,Female
234,29,services,single,secondary,Female
235,30,self-employed,married,tertiary,Male
236,36,blue-collar,married,primary,Female
237,35,admin.,divorced,secondary,Female
238,36,blue-collar,married,secondary,Female
239,59,retired,divorced,primary,Female
240,47,entrepreneur,married,secondary,Male
241,58,entrepreneur,married,tertiary,Male
242,37,management,single,tertiary,Male
243,46,admin.,single,secondary,Male
244,43,blue-collar,single,secondary,Male
245,27,management,single,tertiary,Male
246,38,services,divorced,secondary,Male
247,53,housemaid,married,primary,Male
248,47,blue-collar,married,secondary,Male
249,56,housemaid,divorced,primary,Male
250,41,housemaid,married,secondary,Male
251,29,self-employed,married,secondary,Male
252,50,technician,married,secondary,Male
253,45,blue-collar,divorced,primary,Male
254,35,blue-collar,married,secondary,Male
255,26,technician,single,secondary,Male
256,26,admin.,married,secondary,Male
257,37,blue-collar,married,unknown,Male
258,30,admin.,single,secondary,Male
259,38,management,single,tertiary,Male
260,37,services,divorced,secondary,Male
261,53,technician,married,secondary,Female
262,29,blue-collar,single,primary,Female
263,35,management,single,tertiary,Female
264,28,blue-collar,married,secondary,Female
265,55,blue-collar,married,unknown,Female
266,49,management,divorced,secondary,Female
267,50,services,married,secondary,Female
268,43,management,single,tertiary,Female
269,58,self-employed,divorced,tertiary,Female
270,38,technician,married,primary,Female
271,48,blue-collar,divorced,primary,Female
272,59,management,married,secondary,Female
273,58,blue-collar,married,secondary,Female
274,36,self-employed,single,tertiary,Male
275,42,entrepreneur,married,tertiary,Female
276,41,admin.,single,secondary,Female
277,42,admin.,married,secondary,Female
278,39,management,married,tertiary,Female
279,57,housemaid,married,primary,Male
280,52,retired,married,unknown,Male
281,59,retired,married,unknown,Male
282,56,blue-collar,married,secondary,Male
283,49,management,married,tertiary,Male
284,35,blue-collar,divorced,unknown,Male
285,36,unemployed,married,secondary,Male
286,40,admin.,single,tertiary,Male
287,55,blue-collar,married,secondary,Male
288,58,admin.,married,secondary,Male
289,39,self-employed,married,tertiary,Male
290,47,housemaid,single,tertiary,Male
291,40,management,married,secondary,Male
292,35,blue-collar,married,tertiary,Male
293,48,blue-collar,married,secondary,Male
294,48,management,divorced,tertiary,Male
295,24,blue-collar,single,secondary,Male
296,49,blue-collar,married,primary,Male
297,36,blue-collar,married,secondary,Male
298,52,retired,divorced,tertiary,Male
299,42,entrepreneur,single,unknown,Male
300,36,services,married,secondary,Female
301,36,blue-collar,divorced,secondary,Female
302,48,unemployed,single,tertiary,Female
303,51,management,single,secondary,Female
304,51,blue-collar,married,secondary,Female
305,46,technician,married,secondary,Female
306,37,management,married,tertiary,Female
307,36,entrepreneur,married,tertiary,Female
308,47,management,married,secondary,Female
309,40,technician,divorced,tertiary,Female
310,38,student,single,tertiary,Female
311,40,management,married,secondary,Female
312,39,blue-collar,married,primary,Female
313,60,management,married,tertiary,Male
314,39,self-employed,single,tertiary,Female
315,51,services,divorced,secondary,Female
316,27,admin.,married,secondary,Female
317,41,management,single,tertiary,Female
318,42,blue-collar,single,primary,Male
319,41,entrepreneur,married,secondary,Male
320,33,technician,married,secondary,Male
321,46,admin.,married,secondary,Male
322,31,blue-collar,married,secondary,Male
323,41,blue-collar,married,primary,Male
324,41,blue-collar,divorced,secondary,Male
325,55,retired,divorced,secondary,Male
326,53,technician,married,secondary,Male
327,55,housemaid,married,primary,Male
328,39,services,married,secondary,Male
329,40,entrepreneur,married,tertiary,Male
330,59,retired,married,primary,Male
331,42,blue-collar,single,secondary,Male
332,41,blue-collar,married,primary,Male
333,27,blue-collar,married,secondary,Male
334,25,blue-collar,single,secondary,Male
335,43,unemployed,married,primary,Male
336,44,services,married,secondary,Male
337,26,blue-collar,single,secondary,Male
338,52,retired,married,tertiary,Male
339,54,services,married,unknown,Female
340,56,management,married,tertiary,Female
341,57,management,married,tertiary,Female
342,29,blue-collar,single,secondary,Female
343,47,technician,married,tertiary,Female
344,57,management,married,tertiary,Female
345,40,blue-collar,married,secondary,Female
346,46,services,divorced,secondary,Female
347,43,blue-collar,single,secondary,Female
348,45,management,married,tertiary,Female
349,24,management,married,secondary,Female
350,40,blue-collar,married,secondary,Female
351,38,services,divorced,unknown,Female
352,36,unemployed,married,tertiary,Male
353,27,blue-collar,single,secondary,Female
354,26,admin.,single,primary,Female
355,43,management,married,tertiary,Female
356,25,blue-collar,single,primary,Female
357,27,blue-collar,married,tertiary,Male
358,30,technician,married,tertiary,Male
359,28,admin.,single,secondary,Male
360,27,blue-collar,married,primary,Male
361,32,admin.,divorced,secondary,Male
362,41,blue-collar,single,secondary,Male
363,37,technician,single,tertiary,Male
364,27,technician,single,secondary,Male
365,29,services,single,secondary,Male
366,33,services,married,secondary,Male
367,36,technician,married,primary,Male
368,28,blue-collar,single,secondary,Male
369,55,blue-collar,married,secondary,Male
370,51,technician,married,secondary,Male
371,39,technician,single,secondary,Male
372,42,blue-collar,divorced,primary,Male
373,33,services,single,secondary,Male
374,36,entrepreneur,divorced,tertiary,Male
375,45,technician,married,secondary,Male
376,37,self-employed,married,secondary,Male
377,46,unemployed,married,secondary,Male
378,32,self-employed,single,tertiary,Female
379,28,technician,single,secondary,Female
380,45,admin.,divorced,secondary,Female
381,41,blue-collar,single,secondary,Female
382,59,blue-collar,divorced,primary,Female
383,47,technician,single,secondary,Female
384,31,blue-collar,single,secondary,Female
385,31,management,single,tertiary,Female
386,33,entrepreneur,married,secondary,Female
387,52,entrepreneur,married,tertiary,Female
388,26,self-employed,single,secondary,Female
389,25,technician,single,secondary,Female
390,25,blue-collar,married,secondary,Female
391,28,blue-collar,single,secondary,Male
392,33,entrepreneur,divorced,tertiary,Female
393,45,management,divorced,tertiary,Female
394,36,services,married,secondary,Female
395,26,blue-collar,single,secondary,Female
396,38,technician,married,secondary,Male
397,56,blue-collar,single,secondary,Male
398,26,admin.,single,secondary,Male
399,26,technician,married,secondary,Male
400,25,blue-collar,single,secondary,Male
401,26,unemployed,single,secondary,Male
402,40,blue-collar,married,primary,Male
403,37,admin.,married,primary,Male
404,43,blue-collar,single,primary,Male
405,41,services,divorced,tertiary,Male
406,49,blue-collar,married,secondary,Male
407,29,admin.,divorced,tertiary,Male
408,39,services,divorced,secondary,Male
409,38,management,married,tertiary,Male
410,26,technician,married,secondary,Male
411,32,management,married,tertiary,Male
412,33,blue-collar,married,primary,Male
413,31,management,single,tertiary,Male
414,49,blue-collar,married,primary,Male
415,27,unemployed,single,primary,Male
416,30,blue-collar,single,secondary,Male
417,35,blue-collar,married,secondary,Female
418,26,blue-collar,single,secondary,Female
419,45,entrepreneur,married,unknown,Female
420,34,admin.,married,secondary,Female
421,28,admin.,single,secondary,Female
422,25,blue-collar,single,secondary,Female
423,30,blue-collar,single,secondary,Female
424,30,services,married,secondary,Female
425,47,services,married,secondary,Female
426,57,admin.,divorced,secondary,Female
427,38,management,married,tertiary,Female
428,54,technician,married,secondary,Female
429,25,blue-collar,single,primary,Female
430,30,blue-collar,married,secondary,Male
431,26,management,single,tertiary,Female
432,31,student,married,primary,Female
433,29,blue-collar,single,secondary,Female
434,49,blue-collar,married,secondary,Female
435,60,retired,divorced,secondary,Male
436,60,management,married,tertiary,Male
437,29,management,single,tertiary,Male
438,55,management,divorced,secondary,Male
439,44,admin.,married,secondary,Male
440,47,technician,married,secondary,Male
441,35,admin.,married,secondary,Male
442,35,entrepreneur,married,secondary,Male
443,38,technician,married,secondary,Male
444,34,entrepreneur,married,tertiary,Male
445,50,technician,married,secondary,Male
446,43,admin.,married,tertiary,Male
447,44,admin.,divorced,secondary,Male
448,51,services,divorced,secondary,Male
449,31,technician,married,secondary,Male
450,39,technician,married,tertiary,Male
451,59,management,married,tertiary,Male
452,25,services,single,secondary,Male
453,58,management,married,tertiary,Male
454,30,entrepreneur,married,primary,Male
455,34,blue-collar,single,primary,Male
456,51,services,divorced,secondary,Female
457,60,retired,married,secondary,Female
458,51,entrepreneur,married,secondary,Female
459,37,management,divorced,tertiary,Female
460,30,blue-collar,single,primary,Female
461,46,entrepreneur,divorced,secondary,Female
462,29,student,single,tertiary,Female
463,27,entrepreneur,married,tertiary,Female
464,28,management,single,tertiary,Female
465,34,blue-collar,single,secondary,Female
466,29,blue-collar,single,unknown,Female
467,27,management,single,tertiary,Female
468,26,technician,single,secondary,Female
469,36,management,married,tertiary,Male
470,44,blue-collar,married,primary,Female
471,39,blue-collar,married,tertiary,Female
472,30,technician,married,secondary,Female
473,31,unemployed,divorced,tertiary,Female
474,56,blue-collar,married,primary,Male
475,29,blue-collar,married,secondary,Male
476,43,blue-collar,married,secondary,Male
477,32,blue-collar,married,secondary,Male
478,30,admin.,single,secondary,Male
479,40,blue-collar,married,secondary,Male
480,42,services,married,secondary,Male
481,27,student,married,secondary,Male
482,35,management,married,tertiary,Male
483,35,housemaid,married,primary,Male
484,32,blue-collar,single,secondary,Male
485,39,technician,married,secondary,Male
486,31,blue-collar,divorced,secondary,Male
487,26,services,single,secondary,Male
488,42,management,married,tertiary,Male
489,27,services,single,secondary,Male
490,33,self-employed,divorced,secondary,Male
491,51,blue-collar,married,primary,Male
492,33,admin.,married,secondary,Male
493,30,technician,single,tertiary,Male
494,52,housemaid,married,primary,Male
495,42,blue-collar,divorced,primary,Female
496,31,management,divorced,tertiary,Female
497,27,services,married,secondary,Female
498,44,blue-collar,single,secondary,Female
499,40,entrepreneur,divorced,secondary,Female
500,46,housemaid,divorced,primary,Female
501,32,services,divorced,secondary,Female
502,56,technician,divorced,secondary,Female
503,33,blue-collar,married,secondary,Female
504,33,blue-collar,married,secondary,Female
505,32,self-employed,married,primary,Female
506,41,blue-collar,divorced,primary,Female
507,31,admin.,single,secondary,Female
508,30,admin.,divorced,secondary,Male
509,34,admin.,divorced,secondary,Female
510,43,entrepreneur,married,secondary,Female
511,28,blue-collar,married,secondary,Female
512,32,admin.,divorced,secondary,Female
513,31,blue-collar,divorced,secondary,Male
514,35,entrepreneur,single,tertiary,Male
515,31,management,married,tertiary,Male
516,25,services,single,secondary,Male
517,56,retired,divorced,tertiary,Male
518,47,technician,married,secondary,Male
519,39,management,married,tertiary,Male
520,51,management,married,tertiary,Male
521,54,technician,divorced,secondary,Male
522,58,retired,married,unknown,Male
523,42,unemployed,married,unknown,Male
524,56,services,married,primary,Male
525,55,housemaid,married,secondary,Male
526,26,blue-collar,single,primary,Male
527,40,admin.,single,secondary,Male
528,26,technician,single,secondary,Male
529,35,management,single,tertiary,Male
530,34,services,single,secondary,Male
531,41,management,single,tertiary,Male
532,44,management,married,primary,Male
533,33,management,single,tertiary,Male
534,36,management,divorced,tertiary,Female
535,38,technician,married,secondary,Female
536,35,technician,married,tertiary,Female
537,41,technician,single,tertiary,Female
538,41,management,divorced,unknown,Female
539,28,blue-collar,married,secondary,Female
540,26,services,married,secondary,Female
541,39,blue-collar,single,secondary,Female
542,25,admin.,married,unknown,Female
543,37,admin.,married,secondary,Female
544,25,management,married,secondary,Female
545,46,management,divorced,tertiary,Female
546,25,blue-collar,single,secondary,Female
547,28,technician,single,tertiary,Male
548,33,services,divorced,secondary,Female
549,32,management,single,secondary,Female
550,32,blue-collar,married,secondary,Female
551,47,technician,single,secondary,Female
552,50,entrepreneur,married,tertiary,Male
553,27,technician,married,secondary,Male
554,45,admin.,married,secondary,Male
555,51,admin.,single,secondary,Male
556,36,admin.,married,secondary,Male
557,51,self-employed,married,secondary,Male
558,33,services,single,tertiary,Male
559,59,technician,married,secondary,Male
560,38,entrepreneur,married,tertiary,Male
561,40,services,married,secondary,Male
562,51,blue-collar,married,primary,Male
563,41,entrepreneur,single,secondary,Male
564,38,entrepreneur,married,secondary,Male
565,31,management,married,tertiary,Male
566,28,admin.,single,secondary,Male
567,41,blue-collar,married,secondary,Male
568,33,management,divorced,tertiary,Male
569,25,student,single,secondary,Male
570,45,admin.,divorced,secondary,Male
571,31,blue-collar,married,primary,Male
572,28,services,single,secondary,Male
573,49,technician,divorced,secondary,Female
574,25,services,married,secondary,Female
575,28,unemployed,single,tertiary,Female
576,54,retired,married,secondary,Female
577,28,technician,single,tertiary,Female
578,27,technician,single,tertiary,Female
579,49,blue-collar,single,primary,Female
580,53,blue-collar,married,primary,Female
581,26,technician,single,secondary,Female
582,37,services,married,secondary,Female
583,34,blue-collar,single,secondary,Female
584,51,retired,married,primary,Female
585,39,housemaid,married,secondary,Female
586,35,technician,single,tertiary,Male
587,51,unemployed,married,primary,Female
588,30,management,single,tertiary,Female
589,42,blue-collar,single,primary,Female
590,54,management,married,secondary,Female
591,51,blue-collar,married,primary,Male
592,57,retired,divorced,primary,Male
593,30,management,married,tertiary,Male
594,37,blue-collar,single,secondary,Male
595,39,technician,married,secondary,Male
596,35,technician,married,tertiary,Male
597,48,management,married,secondary,Male
598,31,management,married,tertiary,Male
599,35,self-employed,married,secondary,Male
600,48,housemaid,married,secondary,Male
601,53,housemaid,married,primary,Male
602,27,technician,single,secondary,Male
603,55,technician,married,secondary,Male
604,40,services,married,secondary,Male
605,40,self-employed,single,tertiary,Male
606,38,blue-collar,divorced,secondary,Male
607,54,retired,single,secondary,Male
608,54,technician,married,secondary,Male
609,50,admin.,single,secondary,Male
610,48,management,divorced,tertiary,Male
611,41,services,married,unknown,Male
612,51,blue-collar,divorced,primary,Female
613,42,technician,single,tertiary,Female
614,58,retired,divorced,secondary,Female
615,47,unemployed,married,secondary,Female
616,58,admin.,married,secondary,Female
617,41,blue-collar,married,secondary,Female
618,50,admin.,married,secondary,Female
619,46,housemaid,married,secondary,Female
620,44,blue-collar,married,secondary,Female
621,36,services,married,secondary,Female
622,58,management,divorced,secondary,Female
623,44,unemployed,single,primary,Female
624,49,entrepreneur,divorced,unknown,Female
625,55,management,married,tertiary,Male
626,52,unemployed,married,primary,Female
627,60,retired,divorced,secondary,Female
628,41,services,married,unknown,Female
629,36,management,married,tertiary,Female
630,41,blue-collar,divorced,primary,Male
631,50,entrepreneur,married,tertiary,Male
632,44,housemaid,married,primary,Male
633,54,technician,married,secondary,Male
634,35,management,married,tertiary,Male
635,59,retired,divorced,secondary,Male
636,42,entrepreneur,married,unknown,Male
637,27,management,single,tertiary,Male
638,59,housemaid,divorced,primary,Male
639,43,admin.,married,secondary,Male
640,39,technician,single,secondary,Male
641,33,unemployed,married,secondary,Male
642,36,self-employed,single,tertiary,Male
643,35,blue-collar,divorced,primary,Male
644,50,blue-collar,married,unknown,Male
645,55,technician,married,secondary,Male
646,51,unemployed,divorced,tertiary,Male
647,48,entrepreneur,married,tertiary,Male
648,55,housemaid,divorced,primary,Male
649,30,services,married,secondary,Male
650,53,blue-collar,married,primary,Male
651,40,blue-collar,married,secondary,Female
652,44,technician,married,primary,Female
653,49,management,divorced,tertiary,Female
654,40,admin.,married,secondary,Female
655,58,unemployed,married,primary,Female
656,49,services,married,secondary,Female
657,38,technician,married,secondary,Female
658,51,housemaid,divorced,tertiary,Female
659,36,management,divorced,tertiary,Female
660,55,retired,married,secondary,Female
661,43,technician,married,tertiary,Female
662,60,management,divorced,secondary,Female
663,57,retired,married,secondary,Female
664,41,technician,married,tertiary,Male
665,50,technician,married,tertiary,Female
666,53,blue-collar,married,secondary,Female
667,59,retired,married,primary,Female
668,59,housemaid,married,primary,Female
669,52,unknown,married,unknown,Male
670,58,management,divorced,tertiary,Male
671,59,retired,married,primary,Male
672,49,technician,single,secondary,Male
673,33,management,divorced,tertiary,Male
674,55,blue-collar,married,primary,Male
675,42,technician,married,tertiary,Male
676,52,services,married,secondary,Male
677,38,technician,married,tertiary,Male
678,55,technician,married,tertiary,Male
679,49,technician,married,tertiary,Male
680,56,technician,divorced,secondary,Male
681,46,technician,married,secondary,Male
682,57,retired,divorced,tertiary,Male
683,61,retired,married,secondary,Male
684,45,admin.,married,secondary,Male
685,39,management,married,tertiary,Male
686,46,admin.,married,secondary,Male
687,43,management,single,tertiary,Male
688,34,services,married,secondary,Male
689,35,management,divorced,tertiary,Male
690,36,management,divorced,tertiary,Female
691,45,management,divorced,tertiary,Female
692,47,technician,married,secondary,Female
693,42,technician,married,tertiary,Female
694,40,management,single,tertiary,Female
695,40,technician,divorced,secondary,Female
696,32,technician,married,secondary,Female
697,33,technician,single,secondary,Female
698,32,self-employed,married,tertiary,Female
699,46,blue-collar,married,primary,Female
700,50,admin.,married,secondary,Female
701,51,blue-collar,married,primary,Female
702,30,management,single,tertiary,Female
703,39,technician,single,secondary,Male
704,47,admin.,married,secondary,Female
705,40,technician,divorced,secondary,Female
706,50,blue-collar,married,primary,Female
707,60,management,married,tertiary,Female
708,32,management,single,tertiary,Male
709,57,technician,married,tertiary,Male
710,41,self-employed,married,tertiary,Male
711,50,technician,married,secondary,Male
712,46,technician,divorced,secondary,Male
713,31,management,married,tertiary,Male
714,36,technician,single,secondary,Male
715,45,technician,divorced,secondary,Male
716,33,technician,divorced,secondary,Male
717,47,services,married,secondary,Male
718,35,management,married,tertiary,Male
719,38,management,married,tertiary,Male
720,33,management,married,tertiary,Male
721,44,technician,single,secondary,Male
722,31,management,single,tertiary,Male
723,31,management,single,tertiary,Male
724,49,services,married,secondary,Male
725,52,services,married,primary,Male
726,31,technician,married,tertiary,Male
727,35,management,married,tertiary,Male
728,31,management,single,tertiary,Male
729,36,technician,divorced,secondary,Female
730,39,management,married,tertiary,Female
731,46,management,married,tertiary,Female
732,48,blue-collar,married,primary,Female
733,36,management,married,tertiary,Female
734,30,management,married,tertiary,Female
735,33,management,single,tertiary,Female
736,57,housemaid,married,primary,Female
737,33,management,single,tertiary,Female
738,35,management,married,tertiary,Female
739,53,management,married,tertiary,Female
740,41,management,married,secondary,Female
741,32,management,single,secondary,Female
742,41,management,married,tertiary,Male
743,35,technician,single,secondary,Female
744,48,blue-collar,married,primary,Female
745,34,management,married,tertiary,Female
746,47,blue-collar,married,secondary,Female
747,46,unemployed,married,secondary,Male
748,60,retired,married,secondary,Male
749,39,management,married,secondary,Male
750,57,blue-collar,married,primary,Male
751,36,unemployed,divorced,secondary,Male
752,30,management,married,secondary,Male
753,33,technician,married,secondary,Male
754,30,management,married,tertiary,Male
755,36,technician,single,secondary,Male
756,49,blue-collar,married,primary,Male
757,49,blue-collar,married,secondary,Male
758,40,unemployed,divorced,secondary,Male
759,49,blue-collar,married,primary,Male
760,38,management,married,tertiary,Male
761,31,management,single,tertiary,Male
762,34,management,married,tertiary,Male
763,39,management,married,tertiary,Male
764,40,management,married,secondary,Male
765,47,technician,married,secondary,Male
766,37,technician,single,secondary,Male
767,44,technician,single,secondary,Male
768,55,management,married,tertiary,Female
769,40,technician,married,secondary,Female
770,54,retired,married,primary,Female
771,35,technician,married,secondary,Female
772,32,technician,single,tertiary,Female
773,36,management,divorced,tertiary,Female
774,37,management,married,tertiary,Female
775,37,technician,single,secondary,Female
776,50,self-employed,married,secondary,Female
777,58,retired,married,tertiary,Female
778,52,technician,divorced,secondary,Female
779,31,management,married,tertiary,Female
780,40,management,married,tertiary,Female
781,34,management,single,tertiary,Male
782,53,services,married,secondary,Female
783,43,management,married,tertiary,Female
784,30,technician,single,tertiary,Female
785,34,technician,single,secondary,Female
786,48,admin.,divorced,secondary,Male
787,33,management,married,tertiary,Male
788,37,management,single,tertiary,Male
789,57,technician,divorced,secondary,Male
790,55,retired,married,primary,Male
791,34,technician,married,tertiary,Male
792,44,entrepreneur,married,tertiary,Male
793,35,management,single,tertiary,Male
794,34,housemaid,married,primary,Male
795,49,services,married,secondary,Male
796,30,technician,married,secondary,Male
797,32,management,single,tertiary,Male
798,56,blue-collar,married,primary,Male
799,50,management,single,tertiary,Male
800,32,technician,single,secondary,Male
801,45,technician,single,tertiary,Male
802,52,management,married,tertiary,Male
803,60,blue-collar,married,primary,Male
804,47,management,married,tertiary,Male
