user,default,balance,housing,loan
325,no,1580,no,yes
326,no,1319,no,no
327,no,2152,no,no
328,no,2843,yes,no
329,yes,0,no,no
330,no,1115,no,no
331,no,625,no,no
332,no,246,no,no
333,no,61,yes,no
334,no,-191,yes,no
335,no,519,no,no
336,no,522,no,yes
337,no,-46,yes,no
338,no,2269,no,no
339,no,386,no,yes
340,no,0,no,yes
341,no,9103,no,yes
342,no,908,yes,no
343,no,1694,no,yes
344,no,-92,yes,yes
345,no,188,yes,yes
346,no,0,no,no
347,no,740,yes,no
348,no,655,no,no
349,no,867,yes,no
350,no,1009,yes,yes
351,no,6360,no,no
352,no,4145,no,no
353,yes,-27,no,no
354,no,-122,yes,no
355,no,149,yes,no
356,no,52,yes,no
357,no,335,yes,no
358,no,526,yes,yes
359,no,-7,no,yes
360,no,-413,no,yes
361,no,-241,no,yes
362,no,75,yes,no
363,no,0,no,no
364,no,158,no,no
365,no,84,no,yes
366,no,114,no,yes
367,no,0,no,no
368,no,-127,yes,no
369,no,49,yes,no
370,no,216,no,no
371,no,506,yes,no
372,no,213,yes,no
373,no,170,no,no
374,no,776,no,yes
375,no,879,no,no
376,no,1633,no,no
377,no,926,no,no
378,no,2559,no,no
379,no,909,no,yes
380,no,-176,no,yes
381,yes,1085,yes,yes
382,no,1265,no,yes
383,no,-239,yes,yes
384,no,726,no,no
385,no,296,no,yes
386,no,-627,yes,yes
387,yes,-468,no,no
388,no,551,no,no
389,no,0,no,yes
390,no,101,no,yes
391,no,517,no,yes
392,no,37,no,yes
393,no,854,no,yes
394,no,30,no,yes
395,yes,81,no,yes
396,no,0,no,no
397,no,663,no,yes
398,no,102,no,yes
399,no,370,no,yes
400,no,189,no,yes
401,no,111,no,no
402,no,665,yes,no
403,no,214,yes,no
404,no,0,no,no
405,no,1583,yes,no
406,no,0,no,yes
407,yes,0,no,yes
408,no,687,yes,no
409,yes,327,yes,yes
410,no,-119,no,yes
411,no,794,yes,yes
412,no,-191,yes,yes
413,no,409,no,yes
414,no,3,no,yes
415,no,9,no,yes
416,no,155,yes,yes
417,no,1330,no,no
418,no,-29,yes,no
419,no,3133,yes,yes
420,no,-33,yes,yes
421,no,-170,no,yes
422,no,1243,no,yes
423,no,1598,yes,no
424,no,5,no,yes
425,no,367,yes,no
426,no,658,no,no
427,no,1722,yes,no
428,no,-315,no,yes
429,no,2483,no,no
430,no,0,yes,yes
431,no,45,no,no
432,no,46,yes,no
433,no,482,no,yes
434,no,3728,yes,no
435,no,1099,no,no
436,no,2222,yes,no
437,no,983,yes,no
438,no,204,yes,no
439,no,1074,yes,no
440,no,3466,yes,no
441,no,-203,yes,no
442,no,2436,no,yes
443,no,976,yes,no
444,no,146,yes,no
445,no,156,no,yes
446,no,189,yes,no
447,no,163,yes,no
448,no,242,no,yes
449,no,1173,yes,no
450,no,0,yes,no
451,no,296,no,yes
452,no,333,no,yes
453,no,3864,yes,no
454,no,2686,yes,no
455,no,-109,yes,no
456,no,65,no,yes
457,no,597,no,no
458,no,-799,no,yes
459,no,1775,no,no
460,no,0,no,no
461,no,-563,no,yes
462,no,5,no,no
463,no,139,no,no
464,no,0,yes,no
465,no,855,yes,no
466,no,694,yes,yes
467,no,151,yes,no
468,no,354,no,no
469,no,673,yes,no
470,no,1265,yes,no
471,no,597,no,no
472,no,-393,yes,yes
473,no,256,yes,no
474,no,0,yes,no
475,no,2870,yes,no
476,no,184,no,yes
477,no,1905,yes,no
478,no,-36,no,no
479,no,-839,yes,yes
480,no,3465,yes,yes
481,no,119,yes,no
482,no,36,no,yes
483,no,113,yes,no
484,no,118,yes,no
485,no,251,yes,no
486,no,-277,yes,no
487,no,-189,no,yes
488,no,4,yes,no
489,no,1820,yes,no
490,no,1904,yes,no
491,no,201,yes,no
492,no,0,yes,no
493,no,178,no,no
494,no,3798,yes,no
495,no,301,yes,no
496,no,294,yes,no
497,no,0,yes,no
498,no,292,no,yes
499,no,2998,yes,no
500,no,2084,yes,no
501,no,454,yes,no
502,no,179,no,no
503,no,661,yes,no
504,no,89,yes,no
505,no,102,yes,no
506,no,138,yes,no
507,no,622,no,no
508,no,10,yes,no
509,no,-251,no,no
510,no,104,yes,no
511,no,173,no,no
512,no,-46,no,yes
513,no,0,yes,yes
514,no,145,yes,no
515,no,325,yes,no
516,no,2311,no,yes
517,no,158,no,yes
518,no,1981,yes,no
519,no,1423,yes,no
520,no,2455,yes,no
521,no,859,no,yes
522,no,9004,no,no
523,no,970,yes,no
524,no,486,no,yes
525,no,127,yes,no
526,no,409,yes,no
527,no,664,no,no
528,no,223,no,yes
529,no,-324,no,yes
530,no,-30,no,no
531,no,1253,no,no
532,no,4758,yes,no
533,no,30,yes,no
534,no,81,no,yes
535,no,0,yes,no
536,no,328,yes,no
537,no,145,no,no
538,no,465,yes,no
539,no,751,yes,no
540,no,-379,yes,yes
541,no,0,no,no
542,no,349,yes,no
543,no,1110,yes,no
544,no,2228,yes,no
545,no,2166,yes,no
546,no,-247,yes,no
547,no,-123,no,yes
548,no,44,no,yes
549,no,131,yes,yes
550,no,476,yes,no
551,no,1101,yes,no
552,no,-168,yes,no
553,no,-392,yes,no
554,no,524,yes,no
555,no,895,no,no
556,no,212,yes,yes
557,no,95,yes,no
558,no,395,yes,no
559,no,135,yes,yes
560,no,0,no,no
561,no,471,yes,no
562,no,603,yes,no
563,no,663,no,no
564,no,593,yes,yes
565,no,1224,yes,yes
566,no,2,yes,no
567,yes,720,no,yes
568,no,990,yes,no
569,no,1747,yes,no
570,no,59,yes,no
571,no,33,yes,no
572,no,340,yes,no
573,no,305,no,no
574,no,0,yes,no
575,no,497,yes,no
576,no,1371,no,no
577,no,1628,yes,no
578,no,372,yes,yes
579,no,566,yes,no
580,no,343,yes,no
581,no,941,no,yes
582,no,775,no,yes
583,no,1759,no,yes
584,no,1495,no,no
585,no,1444,no,no
586,no,470,yes,no
587,no,1162,yes,no
588,no,2,yes,yes
589,no,1628,yes,no
590,no,1134,yes,no
591,no,0,yes,yes
592,no,63,no,yes
593,no,1221,yes,no
594,no,5024,no,yes
595,no,10685,yes,no
596,no,1629,no,no
597,no,268,yes,no
598,no,0,yes,yes
599,no,5613,yes,no
600,no,513,no,yes
601,no,362,no,no
602,no,3933,no,no
603,no,3899,yes,no
604,no,473,yes,no
605,no,1616,no,no
606,no,1817,yes,no
607,no,129,no,yes
608,no,1938,no,yes
609,no,133,no,no
610,no,2263,no,no
611,no,1538,no,no
612,no,5,no,no
613,no,2625,no,no
614,no,1080,yes,no
615,no,312,no,no
616,no,145,yes,no
617,no,-190,no,yes
618,no,2678,no,no
619,no,271,yes,no
620,no,0,no,no
621,no,0,no,no
622,no,3161,no,no
623,yes,-4,no,yes
624,yes,-701,yes,no
625,no,-375,no,no
626,no,959,no,no
627,no,1091,no,no
628,yes,-1,no,yes
629,no,96,no,no
630,no,0,no,no
631,no,230,no,no
632,no,-156,no,yes
633,no,114,no,no
634,no,-468,yes,no
635,no,679,no,no
636,no,206,yes,no
637,no,1,yes,no
638,no,2518,no,no
639,no,378,no,no
640,no,391,no,yes
641,no,-144,no,no
642,no,1240,no,no
643,no,1792,yes,no
644,no,2284,yes,no
645,no,264,yes,yes
646,no,0,no,no
647,yes,-392,no,no
648,no,77,no,no
649,no,48,yes,no
650,no,252,no,no
651,no,1954,no,no
652,no,755,no,yes
653,no,755,no,no
654,no,341,no,no
655,no,1183,no,no
656,no,388,no,no
657,no,1919,no,no
658,no,1613,no,no
659,no,0,no,no
660,no,0,no,no
661,no,0,no,no
662,no,0,no,no
663,no,466,no,no
664,no,515,no,no
665,no,2313,no,no
666,no,-8,no,no
667,no,1634,yes,yes
668,no,100,no,no
669,no,5361,no,no
670,no,1257,no,no
671,no,3400,yes,no
672,no,1377,no,no
673,no,2885,no,no
674,no,512,no,no
675,no,921,no,no
676,no,1000,no,no
677,no,202,no,no
678,no,169,no,yes
679,no,3726,no,no
680,no,146,yes,no
681,no,940,no,no
682,no,734,no,no
683,no,77,no,no
684,no,925,no,no
685,no,1836,no,no
686,no,660,no,no
687,no,1304,no,no
688,no,2956,no,no
689,no,146,no,no
690,yes,36,no,no
691,no,1,no,no
692,no,2480,no,no
693,no,14282,yes,no
694,no,0,no,no
695,no,311,no,no
696,no,560,no,no
697,no,3059,no,yes
698,no,1423,no,no
699,no,874,no,no
700,no,706,yes,no
701,no,7098,no,no
702,no,5389,no,no
703,no,1104,no,no
704,no,3070,no,no
705,no,0,no,no
706,no,4108,yes,no
707,no,0,no,no
708,no,4291,no,no
709,no,6822,no,no
710,no,231,no,no
711,no,3176,no,no
712,no,-824,yes,no
713,no,676,no,no
714,no,651,no,no
715,no,2657,no,no
716,no,801,no,no
717,no,405,no,yes
718,no,82,no,no
719,no,179,no,no
720,no,1047,no,no
721,no,7138,no,no
722,no,165,no,yes
723,no,37,no,no
724,no,823,no,no
725,no,1625,no,no
726,no,120,no,no
727,no,2957,yes,yes
728,no,2,no,no
729,no,1,no,no
730,no,1795,no,no
731,no,4,no,no
732,no,476,no,no
733,no,9,no,no
734,no,131,yes,no
735,no,1120,no,no
736,no,2785,no,no
737,no,0,no,no
738,no,43,no,no
739,no,0,no,no
740,no,456,yes,no
741,no,2018,no,no
742,no,0,no,no
743,no,354,no,no
744,no,719,no,yes
745,no,828,no,yes
746,no,2787,no,no
747,no,2551,no,no
748,no,2722,no,no
749,no,1880,no,no
750,no,2112,no,no
751,no,871,no,no
752,no,850,no,no
753,no,3243,no,no
754,no,1567,yes,no
755,yes,12,no,no
756,no,128,no,no
757,no,553,no,no
758,no,1694,no,no
759,no,408,no,no
760,no,1223,no,no
761,no,1858,no,no
762,no,520,yes,no
763,no,271,yes,no
764,no,4396,no,no
765,no,568,yes,no
766,no,3665,no,no
767,no,244,yes,no
768,no,568,no,no
769,no,42,no,no
770,no,309,no,no
771,no,-180,no,yes
772,no,34646,no,no
773,no,59,no,no
774,no,4436,no,no
775,no,-242,yes,no
776,no,10052,no,no
777,no,0,no,no
778,no,152,no,no
779,no,156,no,no
780,no,66,no,no
781,no,9827,yes,no
782,no,6170,no,no
783,no,2383,no,no
784,no,635,no,no
785,no,16,no,no
786,no,362,no,no
787,no,191,no,no
788,no,455,yes,no
789,no,3043,no,no
790,no,3334,no,no
791,no,8029,yes,no
792,no,624,no,no
793,no,331,no,no
794,no,2929,no,no
795,no,1314,no,no
796,no,289,yes,no
797,no,20,no,no
798,no,8163,no,no
799,no,1200,no,no
800,no,1732,yes,no
801,no,0,no,no
802,no,576,no,no
803,no,493,no,no
804,no,682,no,no
805,no,0,no,no
806,no,3485,no,no
807,no,2944,no,no
808,no,1353,no,no
809,no,0,no,no
810,no,1541,no,no
811,no,548,no,no
812,no,254,no,no
813,no,4414,no,no
814,no,985,no,no
815,no,1241,no,no
816,no,3278,no,no
817,no,412,no,no
818,no,483,no,no
819,no,7135,no,no
820,no,61,no,no
821,no,1412,yes,no
822,no,15,no,no
823,no,27,no,no
824,no,1196,no,no
825,no,19,no,no
826,no,432,no,no
827,no,988,no,no
828,no,1614,no,no
829,no,163,yes,no
830,no,247,no,no
831,no,236,no,no
832,no,666,no,no
833,no,73,no,no
834,no,96,no,no
835,no,46,no,no
836,no,1501,no,no
837,no,-477,no,yes
838,no,1694,no,no
839,no,196,no,no
840,no,462,no,no
841,no,1227,no,no
842,no,522,no,no
843,no,94,no,no
844,no,267,no,no
845,no,4570,no,no
846,no,25,no,no
847,no,0,no,no
848,no,1920,no,no
849,no,1575,yes,no
850,no,234,no,no
851,no,3518,yes,no
852,no,136,no,no
853,no,830,no,no
854,no,2054,no,no
855,no,-546,no,no
856,no,5188,yes,no
857,no,1882,no,no
858,no,792,no,no
859,yes,162,no,no
860,no,1035,no,no
861,no,746,no,no
862,no,17297,no,no
863,no,22,no,no
864,no,231,no,no
865,no,296,no,no
866,no,0,no,no
867,no,40,no,no
868,no,2396,no,no
869,no,2944,no,no
870,no,7084,no,no
871,no,569,no,no
872,no,0,no,no
873,no,1138,no,no
874,no,54,yes,no
875,no,2637,no,no
876,no,2473,no,no
877,no,5603,no,no
878,no,225,no,no
879,no,-17,yes,yes
880,no,3490,yes,no
881,no,769,no,no
882,no,-90,no,yes
883,no,1785,no,no
884,no,-103,yes,yes
885,no,555,yes,yes
886,no,5303,yes,no
887,no,1258,no,no
888,no,1679,no,no
889,no,1664,yes,no
890,no,8749,yes,yes
891,no,-247,yes,yes
892,no,3444,yes,no
893,no,5346,yes,yes
894,no,1144,yes,no
895,no,2351,no,no
896,no,5514,no,no
897,no,123,no,yes
898,no,429,yes,no
899,no,5254,yes,no
900,no,589,yes,no
901,no,568,yes,no
902,no,10250,yes,no
903,no,3537,no,no
904,no,1947,no,no
905,no,1967,no,no
906,no,2329,no,no
907,no,12026,yes,no
908,no,1757,no,no
909,no,107,yes,yes
910,no,1012,yes,yes
911,no,0,yes,no
912,no,372,no,yes
913,no,7506,yes,no
914,no,314,yes,no
915,no,860,no,no
916,no,0,yes,no
917,no,3623,no,no
918,no,2470,no,no
919,no,1307,yes,no
920,no,3237,no,no
921,no,5041,no,no
922,no,6619,yes,no
923,no,1331,no,no
924,no,1970,yes,no
925,no,1026,no,no
926,no,249,no,no
927,no,12857,yes,no
928,no,2807,no,no
929,no,5060,no,no
930,no,2271,no,no
931,no,1,no,no
932,no,676,no,no
933,no,160,no,no
934,no,899,yes,no
935,no,1230,yes,no
936,no,0,no,no
937,no,700,no,no
938,no,0,no,no
939,no,67,no,no
940,no,127,yes,no
941,no,2089,yes,no
942,no,3585,no,no
943,no,4152,yes,no
944,no,816,yes,no
945,no,5447,yes,yes
946,no,275,no,no
947,no,1540,yes,no
948,no,751,yes,yes
949,no,380,no,no
950,no,1504,yes,yes
951,no,1783,no,yes
952,no,2269,no,no
953,no,5115,yes,no
954,no,781,no,yes
955,no,-188,yes,yes
956,no,761,no,no
957,no,19,yes,no
958,no,4508,yes,no
959,no,66,no,no
960,no,2266,no,no
961,no,4646,yes,no
962,no,1494,yes,no
963,no,1050,yes,no
964,no,0,yes,no
965,no,0,no,no
966,no,2171,yes,yes
967,no,3234,no,no
968,no,11887,no,no
969,no,0,no,no
970,no,5037,yes,no
971,no,386,yes,no
972,no,8781,yes,no
973,no,538,no,no
974,no,5561,yes,no
975,no,859,yes,yes
976,no,0,yes,yes
977,no,-617,no,yes
978,no,1429,yes,no
979,no,4189,yes,no
980,no,580,no,no
981,no,2615,no,no
982,no,587,no,no
983,no,149,yes,no
984,no,3,no,no
985,no,807,yes,no
986,no,3354,yes,no
987,no,1249,yes,no
988,no,190,yes,no
989,no,550,no,no
990,no,12737,no,yes
991,no,0,yes,no
992,no,1207,yes,no
993,no,347,no,no
994,no,3713,no,no
995,no,3352,yes,no
996,no,254,yes,no
997,no,4654,yes,yes
998,yes,-386,no,yes
999,no,3043,yes,yes
1000,no,1547,yes,no
1001,no,945,no,no
1002,no,6402,yes,no
1003,no,1295,no,no
1004,no,6993,yes,no
1005,no,4420,yes,yes
1006,no,141,no,yes
1007,no,11462,yes,no
1008,no,6843,no,no
1009,no,501,yes,yes
1010,no,5806,yes,no
1011,no,20138,yes,no
1012,no,1315,no,no
1013,no,0,no,no
1014,no,7,yes,no
1015,no,3929,yes,no
1016,no,7,no,no
1017,no,699,yes,yes
1018,no,421,yes,no
1019,no,4333,yes,no
1020,no,300,yes,no
1021,no,7773,yes,no
1022,no,1794,no,no
1023,no,2032,no,yes
1024,no,3401,no,no
1025,no,1110,yes,no
1026,no,3068,yes,yes
1027,no,983,yes,no
1028,no,2396,no,no
1029,no,6888,no,no
1030,no,2087,no,no
1031,no,121,yes,no
1032,no,3469,yes,no
1033,no,5461,yes,no
1034,no,7119,no,yes
1035,no,-35,no,no
1036,no,314,yes,no
1037,no,18508,no,no
1038,no,5639,yes,no
1039,no,2918,no,yes
1040,no,12519,yes,no
1041,no,4069,no,no
1042,no,4254,yes,no
1043,no,219,yes,no
1044,no,0,no,no
1045,no,2263,yes,yes
1046,no,2589,no,no
1047,no,1982,no,no
1048,no,7049,no,no
1049,no,1968,no,no
1050,no,7195,no,no
1051,no,4117,no,no
1052,no,3950,yes,no
1053,no,495,yes,no
1054,no,8629,yes,no
1055,no,455,yes,no
1056,no,4536,yes,no
1057,no,1777,yes,no
1058,no,3527,yes,no
1059,no,372,no,no
1060,no,92,no,no
1061,no,72,yes,yes
1062,no,1533,yes,no
1063,no,4148,yes,no
1064,no,96,no,no
1065,no,2245,no,no
1066,no,834,no,yes
1067,no,4119,yes,yes
1068,no,-525,no,yes
1069,no,39,yes,no
1070,no,0,yes,no
1071,no,2766,no,no
1072,no,3300,no,no
1073,no,36,no,no
1074,no,22520,no,no
1075,no,7724,no,no
1076,no,111,no,no
1077,no,2640,no,no
1078,no,3436,no,no
1079,no,0,yes,no
1080,no,3636,no,yes
1081,no,3288,yes,no
1082,no,2633,yes,no
1083,no,580,no,no
1084,no,149,no,no
1085,no,4329,no,no
1086,no,1097,yes,no
1087,no,1275,yes,yes
1088,no,1003,no,no
1089,no,1004,no,yes
1090,no,814,no,no
1091,no,808,yes,no
1092,no,859,no,no
1093,no,4465,no,no
1094,no,0,no,no
1095,no,622,no,no
1096,no,1709,no,yes
1097,no,394,no,no
1098,no,1125,yes,no
1099,yes,-462,no,no
1100,no,550,no,no
1101,no,540,no,yes
1102,no,941,no,no
1103,no,1361,no,no
1104,no,-452,no,no
1105,no,518,no,no
1106,no,-71,yes,yes
1107,no,3234,yes,no
1108,no,98,no,no
1109,no,196,no,no
1110,no,936,no,no
1111,no,300,yes,yes
1112,no,217,yes,no
1113,no,163,no,no
1114,no,110,no,no
1115,no,1646,yes,no
1116,no,2040,no,no
1117,yes,-308,no,no
1118,no,2325,no,no
1119,no,86,no,no
1120,no,1088,no,no
1121,no,0,yes,no
1122,no,0,no,no
1123,no,2103,no,no
1124,no,2,no,no
1125,no,51,no,no
1126,no,96,no,no
1127,no,1027,yes,no
1128,no,1308,yes,no
1129,no,840,yes,no
1130,no,5701,no,no
1131,no,6016,no,no
1132,no,630,no,no
1133,no,432,yes,no
1134,no,-247,yes,yes
1135,no,52,no,no
1136,no,623,yes,no
1137,no,0,no,no
1138,no,100,no,no
1139,no,4089,yes,no
1140,no,1669,no,no
1141,no,169,no,no
1142,no,483,no,yes
1143,no,250,no,no
1144,no,0,yes,no
1145,no,902,yes,no
1146,no,2156,yes,no
1147,no,2360,no,no
1148,no,201,yes,no
1149,no,-92,yes,no
1150,no,514,no,no
1151,no,-114,yes,no
1152,no,1331,no,no
1153,no,732,no,no
1154,no,1308,no,no
1155,no,0,yes,no
1156,no,-970,yes,no
1157,no,1246,yes,no
1158,no,73,no,no
1159,no,406,no,no
1160,no,4391,no,no
1161,no,168,no,no
1162,no,1441,yes,no
1163,no,3881,yes,no
1164,no,678,yes,no
1165,no,141,yes,no
1166,no,-94,yes,no
1167,no,897,yes,no
1168,no,1214,no,no
1169,no,324,no,no
1170,no,2666,no,no
1171,no,10613,no,yes
1172,no,697,no,no
1173,no,953,yes,no
1174,no,198,no,no
1175,no,1110,no,no
1176,no,130,yes,yes
1177,no,315,no,no
1178,no,4383,no,no
1179,no,313,yes,no
1180,no,273,no,no
1181,no,840,no,no
1182,no,309,yes,no
1183,no,2707,no,no
1184,no,1109,no,no
1185,no,101,yes,no
1186,no,725,no,no
1187,no,309,no,no
1188,no,541,yes,no
1189,no,0,yes,no
1190,no,1624,no,no
1191,no,0,no,no
1192,no,318,yes,no
1193,no,1908,yes,no
1194,no,676,no,no
1195,no,1076,yes,no
1196,no,1228,no,no
1197,no,0,no,no
1198,no,13,no,yes
1199,no,12857,yes,no
1200,no,0,no,no
1201,no,6101,no,no
1202,no,158,no,no
1203,no,346,no,no
1204,no,697,no,no
1205,no,616,no,no
1206,no,1140,yes,no
1207,no,3444,no,no
1208,no,1879,no,no
1209,no,0,no,no
1210,no,0,no,no
1211,no,1493,no,no
1212,no,313,no,no
1213,no,1815,no,no
1214,no,700,no,no
1215,no,206,no,no
1216,no,255,no,no
1217,no,270,no,no
1218,no,4987,no,no
1219,no,673,yes,no
1220,no,320,no,no
1221,no,0,yes,no
1222,no,292,no,no
1223,no,757,no,no
1224,no,40,no,no
1225,no,1257,no,no
1226,no,1693,yes,no
1227,no,5060,no,no
1228,no,373,no,no
1229,no,369,no,no
1230,no,2346,no,no
1231,no,1599,no,no
1232,no,1066,no,no
1233,no,2603,yes,no
1234,no,381,no,no
